model,roc_auc,precision,recall,f1,accuracy,best_threshold
logistic_regression,0.7550720144480034,0.3919539442121856,0.5734483104381831,0.46564077511805896,0.73748,0.5500000000000002
random_forest,0.7541409774011687,0.4037551852121389,0.5563020154416926,0.4679092519186978,0.74764,0.5500000000000002
