feature_index,importance
93,4.9837139480186305
92,2.9256042990073725
33,0.815985277760723
34,0.614117844391318
35,0.5047705025642792
87,0.44951426758412466
36,0.4156733042172065
89,0.34564226487150174
37,0.2997692130629856
65,0.2819772780346999
66,0.2662236781647614
0,0.2588263489774484
64,0.18446905116787762
67,0.18012422291896277
49,0.17089586252557215
38,0.16496389712704837
39,0.15869887773271737
48,0.15417865992681823
16,0.15044423568466753
4,0.14660742207607377
83,0.1449755943757846
77,0.14068243364582037
50,0.1385842446409947
74,0.13674298250959097
46,0.1272935518830818
51,0.1264817287297504
22,0.11752862501141907
47,0.11262380046167311
69,0.11213836516349844
54,0.11173187147476274
53,0.10251529527879895
24,0.10219217277154295
52,0.10155580210612862
14,0.09924887746195778
73,0.09897690759324047
6,0.09865807032741916
63,0.09269948438783462
90,0.09205474281483171
82,0.09203543047134136
40,0.09093607039000196
80,0.08955767272631113
45,0.08883064828601506
44,0.07752202597394281
59,0.07691959082701562
12,0.06849096284145932
20,0.06813164256814946
55,0.06638891138182881
5,0.06620602664462896
23,0.06363763672450624
94,0.060071889643496676
1,0.05805934363444745
11,0.05454739061068138
29,0.05427084330089958
41,0.05373392003057329
43,0.05309164255022987
88,0.052328828072613826
31,0.0505212941009939
32,0.05019508167135354
57,0.049641926958007905
7,0.04511200098101828
3,0.03659426886344098
78,0.03511008911422825
18,0.03448485934168826
56,0.03291105028762129
26,0.0319196696227015
17,0.030856191008588302
84,0.03076531162095278
76,0.02781993192361086
58,0.026235878009746215
2,0.024954604199264388
15,0.020711297725715925
21,0.017827518127036854
9,0.016375023523437553
85,0.016250951977396882
27,0.011872909643434171
10,0.009268638624557872
28,0.008154847232447306
8,0.007915549806062435
13,0.00677928030945288
19,0.006196124388784447
30,0.004354069732378571
25,0.0030342350563794408
