Model Type,Name,ROC-AUC,Gini
Best Individual,xgboost,0.7643989346324884,0.5287978692649768
Duo Ensemble,xgboost + LogReg,0.763712283419786,0.5274245668395721
Trio Ensemble,Top 3 Weighted,0.7625824347991867,0.5251648695983735
