model,roc_auc,gini,weighted_f1,weighted_precision,weighted_recall,threshold
xgboost,0.7643989346324884,0.5287978692649768,0.7962694132386051,0.7925260545719048,0.8150962591954922,0.36122448979591837
lightgbm,0.7641291770628389,0.5282583541256778,0.7962045864991248,0.792998238134765,0.8159179840350602,0.36122448979591837
logistic_regression,0.7545314253573197,0.5090628507146393,0.7923812932156881,0.7869645664725377,0.809136797620911,0.6714285714285715
random_forest,0.7455744294232879,0.4911488588465758,0.7880524540428773,0.7828554894203847,0.8075403036468931,0.3938775510204082
naive_bayes,0.7323927252919891,0.46478545058397813,0.7768576880510281,0.769182710987458,0.7928353419940523,0.9
