Type,Model_Name,ROC_AUC,Gini,Weighted_F1
Best Individual Model,lightgbm,0.7636451757320422,0.5272903514640843,0.7960867933447601
Weighted Ensemble,Top_3_Combined,0.7621967617929275,0.524393523585855,0.7246621497659649
